Version,Platform,Released,VirusTotal
[`7.0.1` {octicon}`link-external`](https://github.com/kdeldycke/meta-package-manager/releases/tag/v7.0.1),[{octicon}`download` `linux-arm64`](https://github.com/kdeldycke/meta-package-manager/releases/download/v7.0.1/meta-package-manager-7.0.1-linux-arm64.bin),2026-06-27,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/b73ccd4b969d5928db34aef69d23dbd8a2af43e8347ba97b12b1babc9adf8809)
[`7.0.1` {octicon}`link-external`](https://github.com/kdeldycke/meta-package-manager/releases/tag/v7.0.1),[{octicon}`download` `linux-x64`](https://github.com/kdeldycke/meta-package-manager/releases/download/v7.0.1/meta-package-manager-7.0.1-linux-x64.bin),2026-06-27,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/c8c3fe35d0e0a56f867b80d3ee6d90cb2023e50a9f0626a91f49dffe5a3b56d5)
[`7.0.1` {octicon}`link-external`](https://github.com/kdeldycke/meta-package-manager/releases/tag/v7.0.1),[{octicon}`download` `macos-arm64`](https://github.com/kdeldycke/meta-package-manager/releases/download/v7.0.1/meta-package-manager-7.0.1-macos-arm64.bin),2026-06-27,[{octicon}`shield;1em;sd-text-warning` 1.6%](https://www.virustotal.com/gui/file/3fed30707ede80a6b32ac8f1f66723c71347c5cb17222131226340e951e583f2)
[`7.0.1` {octicon}`link-external`](https://github.com/kdeldycke/meta-package-manager/releases/tag/v7.0.1),[{octicon}`download` `macos-x64`](https://github.com/kdeldycke/meta-package-manager/releases/download/v7.0.1/meta-package-manager-7.0.1-macos-x64.bin),2026-06-27,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/12d94b43e78f6cdcb9c2ef353070067da32f8acc4fa99ee21b3d06152b77c2e3)
[`7.0.1` {octicon}`link-external`](https://github.com/kdeldycke/meta-package-manager/releases/tag/v7.0.1),[{octicon}`download` `windows-arm64`](https://github.com/kdeldycke/meta-package-manager/releases/download/v7.0.1/meta-package-manager-7.0.1-windows-arm64.exe),2026-06-27,[{octicon}`shield;1em;sd-text-warning` 2.9%](https://www.virustotal.com/gui/file/0f0560090fd3dc3f5e4bea9d33f07896aa304e0c714da39f8fe3259d9ce07a83)
[`7.0.1` {octicon}`link-external`](https://github.com/kdeldycke/meta-package-manager/releases/tag/v7.0.1),[{octicon}`download` `windows-x64`](https://github.com/kdeldycke/meta-package-manager/releases/download/v7.0.1/meta-package-manager-7.0.1-windows-x64.exe),2026-06-27,[{octicon}`shield;1em;sd-text-danger` 17.1%](https://www.virustotal.com/gui/file/5537197ce14f7ce945f2510f0d0d49e3498d0047612aa608cc46699c954635e6)
[`7.0.0` {octicon}`link-external`](https://github.com/kdeldycke/meta-package-manager/releases/tag/v7.0.0),[{octicon}`download` `linux-arm64`](https://github.com/kdeldycke/meta-package-manager/releases/download/v7.0.0/meta-package-manager-7.0.0-linux-arm64.bin),2026-06-26,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/095130111eae0223d59a8adc431913a15211e587fb6b8624cad3dd1805786cf9)
[`7.0.0` {octicon}`link-external`](https://github.com/kdeldycke/meta-package-manager/releases/tag/v7.0.0),[{octicon}`download` `linux-x64`](https://github.com/kdeldycke/meta-package-manager/releases/download/v7.0.0/meta-package-manager-7.0.0-linux-x64.bin),2026-06-26,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/f7572b1a14089b0f0fd60ee9ddb403e24ee06e4a2efc6384af32e46a6cd5d05b)
[`7.0.0` {octicon}`link-external`](https://github.com/kdeldycke/meta-package-manager/releases/tag/v7.0.0),[{octicon}`download` `macos-arm64`](https://github.com/kdeldycke/meta-package-manager/releases/download/v7.0.0/meta-package-manager-7.0.0-macos-arm64.bin),2026-06-26,[{octicon}`shield;1em;sd-text-warning` 1.6%](https://www.virustotal.com/gui/file/475f3719146359d6efc2388ee31268d476c3f4e2bfa1ab4e042376fe279f6736)
[`7.0.0` {octicon}`link-external`](https://github.com/kdeldycke/meta-package-manager/releases/tag/v7.0.0),[{octicon}`download` `macos-x64`](https://github.com/kdeldycke/meta-package-manager/releases/download/v7.0.0/meta-package-manager-7.0.0-macos-x64.bin),2026-06-26,[{octicon}`shield-check;1em;sd-text-success`](https://www.virustotal.com/gui/file/1861a0a426318b080bf48ba7fb3fd0d64f2cd54b98133deae5867c33f34bab93)
